Asset Name,Weight,Sharpe Ratio,Execution Time (seconds)
WMT,0.07820322162785733,2.9915763940155777,389.3654495
WBA,0.006470548234546351,2.9915763940155777,389.3654495
VZ,0.030835799431185827,2.9915763940155777,389.3654495
V,0.08218806237330809,2.9915763940155777,389.3654495
TRV,0.08523382429638411,2.9915763940155777,389.3654495
PG,0.03142886916999157,2.9915763940155777,389.3654495
NKE,0.0029731650803632914,2.9915763940155777,389.3654495
MSFT,0.019717658291565833,2.9915763940155777,389.3654495
MRK,0.0013826035783026784,2.9915763940155777,389.3654495
MMM,0.014161676485704858,2.9915763940155777,389.3654495
MCD,0.05334782754231155,2.9915763940155777,389.3654495
KO,0.003348972083308122,2.9915763940155777,389.3654495
JPM,0.05122864611644279,2.9915763940155777,389.3654495
IBM,0.011336119947960056,2.9915763940155777,389.3654495
HON,0.06619379564949013,2.9915763940155777,389.3654495
HD,0.04664645631465209,2.9915763940155777,389.3654495
GS,0.03913048174977288,2.9915763940155777,389.3654495
DIS,0.05544113215896748,2.9915763940155777,389.3654495
CVX,0.018201858629431075,2.9915763940155777,389.3654495
CSCO,0.07584583384472321,2.9915763940155777,389.3654495
CRM,0.09452632735341648,2.9915763940155777,389.3654495
BA,0.00777468916623091,2.9915763940155777,389.3654495
AXP,0.05624694930616591,2.9915763940155777,389.3654495
AMGN,0.009586888713769922,2.9915763940155777,389.3654495
AAPL,0.05854859285414742,2.9915763940155777,389.3654495
