Asset Name,Weight,Sharpe Ratio,Execution Time (seconds)
WMT,0.13597839467790834,3.2042938742502516,2556.3053154
WBA,0.00943223968219328,3.2042938742502516,2556.3053154
VZ,0.0132786417477939,3.2042938742502516,2556.3053154
V,0.1371776140935766,3.2042938742502516,2556.3053154
UNH,0.008798468286442818,3.2042938742502516,2556.3053154
TRV,0.02546097354224046,3.2042938742502516,2556.3053154
PG,0.041860831617757846,3.2042938742502516,2556.3053154
NKE,0.017144785637345415,3.2042938742502516,2556.3053154
MSFT,0.034750668710627056,3.2042938742502516,2556.3053154
MMM,0.011133802679967233,3.2042938742502516,2556.3053154
MCD,0.06707352292688523,3.2042938742502516,2556.3053154
JPM,0.025841442467431707,3.2042938742502516,2556.3053154
JNJ,0.00810561253375538,3.2042938742502516,2556.3053154
IBM,0.07590799953195432,3.2042938742502516,2556.3053154
HON,0.008632945632036305,3.2042938742502516,2556.3053154
HD,0.04603518723027329,3.2042938742502516,2556.3053154
GS,0.008624201426242352,3.2042938742502516,2556.3053154
DOW,0.0038071446081882,3.2042938742502516,2556.3053154
DIS,0.0562843382875248,3.2042938742502516,2556.3053154
CVX,0.04081329914601631,3.2042938742502516,2556.3053154
CSCO,0.018037048842704913,3.2042938742502516,2556.3053154
CRM,0.05414319258504562,3.2042938742502516,2556.3053154
BA,0.018490709882414292,3.2042938742502516,2556.3053154
AMGN,0.0022013542463781813,3.2042938742502516,2556.3053154
AAPL,0.13098557997729632,3.2042938742502516,2556.3053154
