Asset Name,Weight,Sharpe Ratio,Execution Time (seconds)
WMT,0.025596285609609932,1,0.7545624
WBA,0.03377534033785671,1,0.7545624
VZ,0.03757486664364245,1,0.7545624
V,0.007402302215517379,1,0.7545624
UNH,0.046314232526145346,1,0.7545624
TRV,0.025780402369833293,1,0.7545624
PG,0.01605282579079088,1,0.7545624
NKE,0.09663451161756301,1,0.7545624
MSFT,0.035610622133822635,1,0.7545624
MRK,0.06347754985200875,1,0.7545624
MMM,0.01803853369877356,1,0.7545624
MCD,0.002125371925189531,1,0.7545624
KO,0.04064436641790585,1,0.7545624
JPM,0.03807015949098754,1,0.7545624
JNJ,0.007527323152260254,1,0.7545624
INTC,0.0059346567990829465,1,0.7545624
IBM,0.028648198434900483,1,0.7545624
HON,0.005922335769815837,1,0.7545624
HD,0.058501879070735785,1,0.7545624
GS,0.0493338842445001,1,0.7545624
DOW,0.009106301513928472,1,0.7545624
DIS,0.022184688301364913,1,0.7545624
CVX,0.01987264321276619,1,0.7545624
CSCO,0.1015699241370145,1,0.7545624
CRM,0.059800702176942694,1,0.7545624
CAT,0.08350330984113814,1,0.7545624
BA,0.06099678271590291,1,0.7545624
